# Due Diligence Checklists for Sentinel

## Legal Due Diligence Checklist

### 1. Corporate Organization & Structure

| # | Item | Priority | Guidance | Status |
| 10.1 | Management letter from auditors | High | Review control issues |  |
| 10.2 | Internal control documentation | High | Review processes |  |
| 10.3 | Significant deficiency identification | Critical | Review and remediation |  |
| 10.4 | Material weakness identification | Critical | Review and remediation |  |
| 10.5 | SOX compliance (if applicable) | Critical | Review 404 reports |  |
| 10.6 | IT general controls | High | Review system controls |  |
| 10.7 | Segregation of duties analysis | High | Review control gaps |  |
| 10.8 | Bank reconciliation procedures | Medium | Review controls |  |
| 10.9 | Month-end close procedures | Medium | Review process |  |
| 10.10 | Journal entry controls | High | Review approval process |  |

---

## JSON Format for System Import

```json
{
  "checklists": [
    {
      "id": "legal-dd-checklist-v1",
      "name": "Legal Due Diligence Checklist",
      "category": "legal",
      "deal_types": ["ma_asset", "ma_stock", "merger", "investment", "debt", "jv"],
      "version": "1.0",
      "sections": [
        {
          "id": "corp-org",
          "name": "Corporate Organization & Structure",
          "order": 1,
          "items": [
            {
              "id": "corp-1.1",
              "item_number": "1.1",
              "text": "Certificate/Articles of Incorporation and all amendments",
              "priority": "critical",
              "guidance": "Verify current legal name, state of formation, authorized shares",
              "drl_category": "Corporate & Organization"
            },
            {
              "id": "corp-1.2",
              "item_number": "1.2",
              "text": "Bylaws/Operating Agreement and all amendments",
              "priority": "critical",
              "guidance": "Review governance provisions, voting requirements, transfer restrictions",
              "drl_category": "Corporate & Organization"
            }
          ]
        },
        {
          "id": "material-contracts",
          "name": "Material Contracts",
          "order": 2,
          "items": [
            {
              "id": "contracts-2.1",
              "item_number": "2.1",
              "text": "Schedule of all material contracts (>$100K annual value)",
              "priority": "critical",
              "guidance": "Ensure completeness of contract review",
              "drl_category": "Material Contracts"
            }
          ]
        }
      ]
    },
    {
      "id": "financial-dd-checklist-v1",
      "name": "Financial Due Diligence Checklist",
      "category": "financial",
      "deal_types": ["ma_asset", "ma_stock", "merger", "investment", "debt", "jv"],
      "version": "1.0",
      "sections": [
        {
          "id": "qoe",
          "name": "Quality of Earnings",
          "order": 1,
          "items": [
            {
              "id": "qoe-1.1",
              "item_number": "1.1",
              "text": "Audited financial statements (3 years)",
              "priority": "critical",
              "guidance": "Review audit opinions, footnotes",
              "drl_category": "Financial Information"
            }
          ]
        }
      ]
    }
  ]
}
```

---

## Severity/Priority Definitions

| Priority | Definition | Response Time |
|----------|------------|---------------|
| Critical | Deal-breaker potential; must be resolved before signing/closing | Immediate |
| High | Material risk; requires mitigation or negotiated protection | 48-72 hours |
| Medium | Notable issue; should be addressed but not deal-critical | 1 week |
| Low | Minor item; informational or best practice | As time permits |

## Status Definitions

| Status | Definition |
|--------|------------|
| Not Started | Item has not been reviewed |
| In Progress | Review is underway |
| Pending Info | Awaiting additional documents or information |
| Flagged | Issue identified requiring follow-up |
| Complete | Review complete, no issues |
| N/A | Not applicable to this transaction |
